Function Name,Algorithm,Best Solution,Best Fitness,Execution Time (s),Error Message
F2,PCO,[-0.00122364 -0.00047889],0.001703110347651168,0.5966589450836182,
F2,GA,[0.60583974 0.64262284],1.637789035145223,0.294572114944458,
F2,PSO,[9.89716517e-13 1.70755259e-11],1.8065242447813336e-11,0.04244279861450195,
F2,SA,[0.5 0.5],1.25,0.002802133560180664,
F2,GOA,[0.1328836  0.21096069],0.3718775105438976,1.6660540103912354,
F2,DA,[-0.24543654 -0.91706606],1.3875841202369064,0.35878634452819824,
F2,SSA,[-5.50347448e-08 -4.53586722e-08],1.0039341940674354e-07,0.06791543960571289,
F2,WOA,N/A,N/A,N/A,too many values to unpack (expected 2)
F2,MPA,N/A,N/A,N/A,too many values to unpack (expected 2)
F20,PCO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,6) "
F20,GA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,6) "
F20,PSO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,6) "
F20,SA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,6) "
F20,GOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,6) "
F20,DA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,6) "
F20,SSA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,6) "
F20,WOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,6) "
F20,MPA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (4,6) "
F21,PCO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (5,4) "
F21,GA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (5,4) "
F21,PSO,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (5,4) "
F21,SA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (5,4) "
F21,GOA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (5,4) "
F21,DA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (5,4) "
F21,SSA,N/A,N/A,N/A,"operands could not be broadcast together with shapes (1,2) (5,4) "
